\\ Solid Edge Holes.txt file.
\\ The location of this file is set by Tools | Options, File Locations.
\\ For example: c:\Program Files\Solid Edgev19\Program\Holes.txt
\\ You can add, edit, or remove entries from this file. If you edit this file, you should
\\ backup the file before uninstalling Solid Edge.

\\ This file is intended to be used with systems that have a period “.” delimiter for
\\ the decimal place

\\ Localization requirements are that only comments are to be localized.
\\ The separator between various fields must be a semi colon ";"
\\ All lines starting with "\\" are ignored

\\ This file contains both Inch and Metric thread types which are listed in separate
\\ sections that start and end all of the following fields with:
\\ “BeginInch” and “EndInch” for inch based threads and
\\ “BeginMetric” and “EndMetric” for metric based threads and

\\ The fields in this file are:
\\ nominal diameter
\\ internal minor diameter
\\ external minor diameter
\\ thread type
\\ thread family

\\ For the hole feature:
\\ The nominal diameter is listed in the UI and is used for size selection, 
\\ but a hole equal to the internal minor diameter is created

\\ For the Thread feature:
\\ For internal threads (holes) the hole must be modeled to the internal minor diameter
\\ For external threads (shafts) the cylinder must be modeled to the nominal diameter

\\ The thread family is used to classify similar threads to allow automatic thread
\\ sizing when the underlying diameter changes. Solid Edge will maintain the thread
\\ family, but will search for the appropriate diameter to match the model.

\\ Beginning of inch sizes
BeginInch 
13.157; 11.445; 11.445;  G1/4; G1
14; 11; 10.5;  Tr 14 x 3; Trx3
14; 12; 11.5;  Tr 14 x 2; Trx2
14; 11.835; 11.546;  M14; M
14; 12.376; 12.16;  M14 x 1.5; Mx1.5
14; 12.647; 12.466;  M14 x 1.25; Mx1.25
14; 12.917; 12.773;  M14 x 1; Mx1
14; 13.188; 13.08;  M14 x 0.75; Mx0.75
14; 13.459; 13.387;  M14 x 0.5; Mx0.5
15; 13.376; 13.16;  M15; M
15; 13.917; 13.733;  M15 x 1; Mx1
15.2; 14.53; 13.86;  Pg9; Pg
16; 12; 11.5;  Tr 16 x 4; Trx4
16; 14; 13.5;  Tr 16 x 2; Trx2
16; 13.835; 13.546;  M16; M
16; 14.376; 14.16;  M16 x 1.5; Mx1.5
16; 14.917; 14.773;  M16 x 1; Mx1
16; 15.188; 15.08;  M16 x 0.75; Mx0.75
16; 15.459; 15.387;  M16 x 0.5; Mx0.5
16.662; 14.95; 14.95;  G3/8; G3
17; 15.376; 15.16;  M17; M
17; 15.917; 15.773;  M17 x 1; Mx1
18; 14; 13.5;  Tr 18 x 4; Trx4
18; 16; 15.5;  Tr 18 x 2; Trx2
18; 15.294; 14.933;  M18; M
18; 15.835; 15.546;  M18 x 2; Mx2
18; 16.376; 16.16;  M18 x 1.5; Mx1.5
18; 16.917; 16.773;  M18 x 1; Mx1
18; 17.188; 17.08;  M18 x 0.75; Mx0.75
18; 17.459; 17.387;  M18 x 0.5; Mx0.5
18.6; 17.93; 17.26;  Pg11; Pg
20; 16; 15.5;  Tr 20 x 4; Trx4
20; 18; 17.5;  Tr 20 x 2; Trx2
20; 17.294; 16.933;  M20; M
20; 17.835; 17.546;  M20 x 2; Mx2
20; 18.376; 18.16;  M20 x 1.5; Mx1.5
20; 18.917; 18.773;  M20 x 1; Mx1
20; 19.188; 19.08;  M20 x 0.75; Mx0.75
20; 19.459; 19.387;  M20 x 0.5; Mx0.5
20.4; 19.73; 19.06;  Pg13.5; Pg
20.955; 18.631; 18.631;  G1/2; G1
22; 14; 13.5;  Tr 22 x 8; Trx8
22; 17; 16.5;  Tr 22 x 5; Trx5
22; 19; 18.5;  Tr 22 x 3; Trx3
22; 20; 19.5;  Tr 22 x 2; Trx2
22; 19.294; 18.933;  M22; M
22; 19.835; 19.546;  M22 x 2; Mx2
22; 20.376; 20.16;  M22 x 1.5; Mx1.5
22; 20.917; 20.773;  M22 x 1; Mx1
22; 21.188; 21.08;  M22 x 0.75; Mx0.75
22; 21.459; 21.387;  M22 x 0.5; Mx0.5
22.5; 21.83; 21.16;  Pg16; Pg
22.911; 20.587; 20.587;  G5/8; G5
24; 16; 15;  Tr 24 x 8; Trx8
24; 19; 18.5;  Tr 24 x 5; Trx5
24; 21; 20.5;  Tr 24 x 3; Trx3
24; 22; 21.5;  Tr 24 x 2; Trx2
24; 20.752; 20.319;  M24; M
24; 21.835; 21.546;  M24 x 2; Mx2
24; 22.376; 22.16;  M24 x 1.5; Mx1.5
24; 22.917; 22.773;  M24 x 1; Mx1
24; 23.188; 23.08;  M24 x 0.75; Mx0.75
25; 22.835; 22.546;  M25; M
25; 23.376; 23.16;  M25 x 1.5; Mx1.5
25; 23.917; 23.773;  M25 x 1; Mx1
26; 18; 17;  Tr 26 x 8; Trx8
26; 21; 20;  Tr 26 x 5; Trx5
26; 23; 22.5;  Tr 26 x 3; Trx3
26; 24; 23.5;  Tr 26 x 2; Trx2
26; 24.376; 24.16;  M26; M
26.441; 24.117; 24.117;  G3/4; G3
27; 23.752; 23.319;  M27; M
27; 24.835; 24.546;  M27 x 2; Mx2
27; 25.376; 25.16;  M27 x 1.5; Mx1.5
27; 25.917; 25.773;  M27 x 1; Mx1
27; 26.188; 26.08;  M27 x 0.75; Mx0.75
28; 20; 19;  Tr 28 x 8; Trx8
28; 23; 22.5;  Tr 28 x 5; Trx5
28; 25; 24.5;  Tr 28 x 3; Trx3
28; 26; 25.5;  Tr 28 x 2; Trx2
28; 25.835; 25.546;  M28; M
28; 26.376; 26.16;  M28 x 1.5; Mx1.5
28; 26.917; 26.773;  M28 x 1; Mx1
28.3; 27.54; 26.78;  Pg21; Pg
30; 20; 19;  Tr 30 x 10; Trx10
30; 24; 23;  Tr 30 x 6; Trx6
30; 27; 26.5;  Tr 30 x 3; Trx3
30; 26.211; 25.706;  M30; M
30; 26.752; 26.319;  M30 x 3; Mx3
30; 27.835; 27.546;  M30 x 2; Mx2
30; 28.376; 28.16;  M30 x 1.5; Mx1.5
30; 28.917; 28.773;  M30 x 1; Mx1
30; 29.188; 29.08;  M30 x 0.75; Mx0.75
30.201; 27.877; 27.877;  G7/8; G7
32; 22; 21;  Tr 32 x 10; Trx10
32; 26; 25;  Tr 32 x 6; Trx6
32; 29; 28.5;  Tr 32 x 3; Trx3
32; 29.835; 29.546;  M32; M
32; 30.376; 30.16;  M32 x 1.5; Mx1.5
33; 29.211; 28.706;  M33; M
33; 29.752; 29.319;  M33 x 3; Mx3
33; 30.835; 30.546;  M33 x 2; Mx2
33; 31.376; 31.16;  M33 x 1.5; Mx1.5
33; 31.917; 31.773;  M33 x 1; Mx1
33; 32.188; 32.08;  M33 x 0.75; Mx0.75
33.249; 30.291; 30.291;  G1; G1
34; 24; 23;  Tr 34 x 10; Trx10
34; 28; 27;  Tr 34 x 6; Trx6
34; 31; 30.5;  Tr 34 x 3; Trx3
35; 33.376; 33.16;  M35; M
36; 26; 25;  Tr 36 x 10; Trx10
36; 30; 29;  Tr 36 x 6; Trx6
36; 31.67; 31.093;  M36; M
36; 33; 32.5;  Tr 36 x 3; Trx3
36; 32.752; 32.319;  M36 x 3; Mx3
36; 33.835; 33.546;  M36 x 2; Mx2
36; 34.376; 34.16;  M36 x 1.5; Mx1.5
36; 34.917; 34.773;  M36 x 1; Mx1
37; 36.24; 35.48;  Pg29; Pg
37.897; 34.939; 34.939;  G1 1/8; G1
38; 28; 27;  Tr 38 x 10; Trx10
38; 31; 30;  Tr 38 x 7; Trx7
38; 32; 31;  Tr 38 x 6; Trx6
38; 35; 34.5;  Tr 38 x 3; Trx3
38; 36.376; 36.16;  M38; M
39; 34.67; 34.093;  M39; M
39; 35.752; 35.319;  M39 x 3; Mx3
39; 36.835; 36.546;  M39 x 2; Mx2
39; 37.376; 37.16;  M39 x 1.5; Mx1.5
39; 37.917; 37.773;  M39 x 1; Mx1
40; 30; 29;  Tr 40 x 10; Trx10
40; 33; 32;  Tr 40 x 7; Trx7
40; 34; 33;  Tr 40 x 6; Trx6
40; 37; 36.5;  Tr 40 x 3; Trx3
40; 36.752; 36.319;  M40; M
40; 37.835; 37.546;  M40 x 2; Mx2
40; 38.376; 38.16;  M40 x 1.5; Mx1.5
41.91; 38.952; 38.952;  G1 1/4; G1
42; 32; 31;  Tr 42 x 10; Trx10
42; 35; 34;  Tr 42 x 7; Trx7
42; 36; 35;  Tr 42 x 6; Trx6
42; 37.129; 36.479;  M42; M
42; 37.67; 37.093;  M42 x 4; Mx4
42; 39; 38.5;  Tr 42 x 3; Trx3
42; 38.752; 38.319;  M42 x 3; Mx3
42; 39.835; 39.546;  M42 x 2; Mx2
42; 40.376; 40.16;  M42 x 1.5; Mx1.5
42; 40.917; 40.773;  M42 x 1; Mx1
44; 32; 31;  Tr 44 x 12; Trx12
44; 36; 35;  Tr 44 x 8; Trx8
44; 37; 36;  Tr 44 x 7; Trx7
44; 41; 40.5;  Tr 44 x 3; Trx3
45; 40.129; 39.479;  M45; M
45; 40.67; 40.099;  M45 x 4; Mx4
45; 41.752; 41.319;  M45 x 3; Mx3
45; 42.835; 42.546;  M45 x 2; Mx2
45; 43.376; 43.16;  M45 x 1.5; Mx1.5
45; 43.917; 43.773;  M45 x 1; Mx1
46; 34; 33;  Tr 46 x 12; Trx12
46; 38; 37;  Tr 46 x 8; Trx8
46; 43; 42.5;  Tr 46 x 3; Trx3
47; 46.24; 45.48;  Pg36; Pg
47.803; 44.845; 44.845;  G1 1/2; G1
48; 36; 35;  Tr 48 x 12; Trx12
48; 40; 39;  Tr 48 x 8; Trx8
48; 42.587; 41.866;  M48; M
48; 43.67; 43.093;  M48 x 4; Mx4
48; 45; 44.5;  Tr 48 x 3; Trx3
48; 44.752; 44.319;  M48 x 3; Mx3
48; 45.835; 45.546;  M48 x 2; Mx2
48; 46.376; 46.16;  M48 x 1.5; Mx1.5
48; 46.917; 46.773;  M48 x 1; Mx1
50; 38; 37;  Tr 50 x 12; Trx12
50; 42; 41;  Tr 50 x 8; Trx8
50; 47; 46.5;  Tr 50 x 3; Trx3
50; 46.752; 46.319;  M50; M
50; 47.835; 47.546;  M50 x 2; Mx2
50; 48.376; 48.16;  M50 x 1.5; Mx1.5
52; 46.587; 45.866;  M52; M
52; 47.67; 47.093;  M52 x 4; Mx4
52; 48.752; 48.319;  M52 x 3; Mx3
52; 49.835; 49.546;  M52 x 2; Mx2
52; 50.376; 50.16;  M52 x 1.5; Mx1.5
52; 50.917; 50.773;  M52 x 1; Mx1
53.746; 50.788; 50.788;  G1 3/4; G1
54; 53.24; 52.48;  Pg42; Pg
55; 50.67; 50.093;  M55; M
55; 51.752; 51.319;  M55 x 3; Mx3
55; 52.835; 52.546;  M55 x 2; Mx2
55; 53.376; 53.16;  M55 x 1.5; Mx1.5
56; 50.046; 49.252;  M56; M
56; 51.67; 51.093;  M56 x 4; Mx4
56; 52.752; 52.319;  M56 x 3; Mx3
56; 53.835; 53.546;  M56 x 2; Mx2
56; 54.376; 54.16;  M56 x 1.5; Mx1.5
56; 54.917; 54.773;  M56 x 1; Mx1
58; 53.67; 53.093;  M58; M
58; 54.752; 54.319;  M58 x 3; Mx3
58; 55.835; 55.546;  M58 x 2; Mx2
58; 56.376; 56.16;  M58 x 1.5; Mx1.5
59.3; 58.54; 57.78;  Pg48; Pg
59.614; 56.656; 56.656;  G2; G2
60; 54.046; 53.252;  M60; M
60; 55.67; 55.093;  M60 x 4; Mx4
60; 56.752; 56.319;  M60 x 3; Mx3
60; 57.835; 57.546;  M60 x 2; Mx2
60; 58.376; 58.16;  M60 x 1.5; Mx1.5
60; 58.917; 58.773;  M60 x 1; Mx1
62; 57.67; 57.093;  M62; M
62; 58.752; 58.319;  M62 x 3; Mx3
62; 59.835; 59.546;  M62 x 2; Mx2
62; 60.376; 60.16;  M62 x 1.5; Mx1.5
64; 57.505; 56.639;  M64; M
64; 59.67; 59.093;  M64 x 4; Mx4
64; 60.752; 60.319;  M64 x 3; Mx3
64; 61.835; 61.546;  M64 x 2; Mx2
64; 62.376; 62.16;  M64 x 1.5; Mx1.5
64; 62.917; 62.773;  M64 x 1; Mx1
65; 60.67; 60.093;  M65; M
65; 61.752; 61.319;  M65 x 3; Mx3
65; 62.835; 62.546;  M65 x 2; Mx2
65; 63.376; 63.16;  M65 x 1.5; Mx1.5
65.71; 62.752; 62.752;  G2 1/4; G2
68; 61.505; 60.639;  M68; M
68; 63.67; 63.093;  M68 x 4; Mx4
68; 64.752; 64.319;  M68 x 3; Mx3
68; 65.835; 65.546;  M68 x 2; Mx2
68; 66.376; 66.16;  M68 x 1.5; Mx1.5
68; 66.917; 66.773;  M68 x 1; Mx1
70; 63.505; 62.639;  M70; M
70; 65.67; 65.093;  M70 x 4; Mx4
70; 66.752; 66.319;  M70 x 3; Mx3
70; 67.835; 67.546;  M70 x 2; Mx2
70; 68.376; 68.16;  M70 x 1.5; Mx1.5
72; 65.505; 64.639;  M72; M
72; 67.67; 67.093;  M72 x 4; Mx4
72; 68.752; 68.319;  M72 x 3; Mx3
72; 69.835; 69.546;  M72 x 2; Mx2
72; 70.376; 70.16;  M72 x 1.5; Mx1.5
72; 70.917; 70.779;  M72 x 1; Mx1
75; 70.67; 70.093;  M75; M
75; 71.752; 71.319;  M75 x 3; Mx3
75; 72.835; 72.546;  M75 x 2; Mx2
75; 73.376; 73.16;  M75 x 1.5; Mx1.5
75.184; 72.226; 72.226;  G2 1/2; G2
76; 69.505; 68.639;  M76; M
76; 71.67; 71.093;  M76 x 4; Mx4
76; 72.752; 72.319;  M76 x 3; Mx3
76; 73.835; 73.546;  M76 x 2; Mx2
76; 74.376; 74.16;  M76 x 1.5; Mx1.5
76; 74.917; 73.777;  M76 x 1; Mx1
78; 75.835; 75.546;  M78; M
80; 73.505; 72.639;  M80; M
80; 75.67; 75.093;  M80 x 4; Mx4
80; 76.752; 76.319;  M80 x 3; Mx3
80; 77.835; 77.546;  M80 x 2; Mx2
80; 78.376; 78.16;  M80 x 1.5; Mx1.5
80; 78.917; 78.773;  M80 x 1; Mx1
81.534; 78.576; 78.576;  G2 3/4; G2
82; 79.835; 79.546;  M82; M
85; 78.505; 77.639;  M85; M
85; 80.67; 80.093;  M85 x 4; Mx4
85; 81.752; 81.319;  M85 x 3; Mx3
85; 82.835; 82.546;  M85 x 2; Mx2
85; 83.376; 83.16;  M85 x 1.5; Mx1.5
87.884; 84.926; 84.926;  G3; G3
90; 83.505; 82.639;  M90; M
90; 85.67; 85.093;  M90 x 4; Mx4
90; 86.752; 86.319;  M90 x 3; Mx3
90; 87.835; 87.546;  M90 x 2; Mx2
90; 88.376; 88.16;  M90 x 1.5; Mx1.5
95; 88.505; 87.639;  M95; M
95; 90.67; 90.093;  M95 x 4; Mx4
95; 91.752; 91.319;  M95 x 3; Mx3
95; 92.835; 92.546;  M95 x 2; Mx2
95; 93.376; 93.16;  M95 x 1.5; Mx1.5
100; 93.505; 92.639;  M100; M
100; 95.67; 95.093;  M100 x 4; Mx4
100; 96.752; 96.319;  M100 x 3; Mx3
100; 97.835; 97.546;  M100 x 2; Mx2
100; 98.376; 98.16;  M100 x 1.5; Mx1.5
100.33; 97.372; 97.372;  G3 1/2; G3
105; 98.505; 97.639;  M105; M
105; 100.67; 100.093;  M105 x 4; Mx4
105; 101.752; 101.319;  M105 x 3; Mx3
105; 102.835; 102.546;  M105 x 2; Mx2
105; 103.376; 103.16;  M105 x 1.5; Mx1.5
110; 103.505; 102.639;  M110; M
110; 105.67; 105.093;  M110 x 4; Mx4
110; 106.752; 106.319;  M110 x 3; Mx3
110; 107.835; 107.546;  M110 x 2; Mx2
110; 108.376; 108.16;  M110 x 1.5; Mx1.5
113.03; 110.072; 110.072;  G4; G4
115; 108.505; 107.639;  M115; M
115; 110.67; 110.093;  M115 x 4; Mx4
115; 111.752; 111.319;  M115 x 3; Mx3
115; 112.835; 112.546;  M115 x 2; Mx2
115; 113.376; 113.16;  M115 x 1.5; Mx1.5
120; 113.505; 112.639;  M120; M
120; 115.67; 115.093;  M120 x 4; Mx4
120; 116.752; 116.319;  M120 x 3; Mx3
120; 117.835; 117.546;  M120 x 2; Mx2
120; 118.376; 118.16;  M120 x 1.5; Mx1.5
125; 118.505; 117.639;  M125; M
125; 120.67; 120.093;  M125 x 4; Mx4
125; 121.752; 121.319;  M125 x 3; Mx3
125; 122.835; 122.546;  M125 x 2; Mx2
125; 123.376; 123.16;  M125 x 1.5; Mx1.5
125.73; 122.772; 122.772;  G4 1/2; G4
130; 123.505; 122.639;  M130; M
130; 125.67; 125.093;  M130 x 4; Mx4
130; 126.752; 126.319;  M130 x 3; Mx3
130; 127.835; 127.546;  M130 x 2; Mx2
130; 128.376; 128.16;  M130 x 1.5; Mx1.5
135; 128.505; 127.639;  M135; M
135; 130.67; 130.093;  M135 x 4; Mx4
135; 131.752; 131.319;  M135 x 3; Mx3
135; 132.835; 132.546;  M135 x 2; Mx2
135; 133.376; 133.16;  M135 x 1.5; Mx1.5
138.43; 135.472; 135.472;  G5; G5
140; 133.505; 132.639;  M140; M
140; 135.67; 135.093;  M140 x 4; Mx4
140; 136.752; 136.319;  M140 x 3; Mx3
